A1,A2,A3,A4,A5,A6,A7,A8i,A8ii,A8iii,A9,A10,A11,A12,A13i,A13ii,A14a,A14b,A14c,A14d,A14eii,A15,A16i,A16ii,A16iii,A17,A18i,A18ii,A18iii,A19,A20,A21ai,A21aii,A21bi,A21bii,duration,category
Male,Married,41,Economics,Social Sciences,2007,2012,0,8,8,1,Professor,No,,No,NA,No,NA,NA,NA,NA,Yes,No,,Extra Journey,Plesant,Most Cordial,Formal,Very Sup,Focus,Mandatory Length of time,OAU,1997,University of Ibadan,2005,5,0
Male,Married,47,Geography,Social Sciences,2003,2012,0,12,12,1,Professor,Yes,7,No,NA,No,NA,NA,NA,NA,Yes,Yes,Helped undertood academic research,NA,Plesant,Most Cordial,Very inf,Most Sup,Searching the Internet for literature,Registration Procedure,University of Ibadan,1986,University of Jos,1992,9,1
Male,Married,44,Sociology,Social Sciences,2002,2012,0,15,15,1,Professor,Yes,13,Yes,Cooperation from spouse,No,NA,NA,NA,NA,Yes,Yes,Helped with the Ph.D. proposal,NA,Most Plesant,Most Cordial,Formal,Most Sup,Development of independent thoughts,,University of Jos,1988,University of Lagos,1992,10,1
Male,Married,37,EMSEH,Public Health,2007,2012,7,1,8,1,Professor,Yes,9,Yes,Immense support,Yes,2007,Full employment,Academic/Research,Oyo,Yes,Yes,Better Exposure,NA,Plesant,Most Cordial,Very inf,Most Sup,Academic Enrichment,Bureacracy of PG School,University of Ilorin,1998,"Lancasteer University, UK",2006,5,0
NA,NA,53,Political Science,Social Sciences,2001,2012,9,0,9,1,Senior lecturer,Yes,28,Yes,Immense support,Yes,1994,Full employment,Academic/Research,Lagos,Yes,Yes,Course work/Lecturers,NA,Most Plesant,Most Cordial,Formal,Most Sup,Development of independent thoughts,,Lagos State University,1988,University of Lagos,1990,11,1
Male,Married,41,Economics,Social Sciences,1998,2012,,,,3,Professor,No,7,Yes,Immense support,Yes,2003,Full employment,Academic/Research,Lagos,Yes,Yes,Helped undertood academic research,NA,Plesant,Very Cordial,Formal,Very Sup,Broaden my research horizon,,"ABU, zaria",1995,University of Ibadan,1998,14,1
Male,Married,48,Psychology,Social Sciences,2005,2012,4,0,4,1,Professor,Yes,18,Yes,Immense support,Yes,2002,Full employment,Non academic/Administration,Oyo,Yes,NA,NA,NA,Most Plesant,Most Cordial,Very inf,Most Sup,Broaden my research horizon,Immunity against strike action,University of Ibadan,1995,University of Ibadan,1997,7,1
Male,Married,40,Economics,Social Sciences,2005,2012,0,10,10,3,Senior lecturer,No,1,Yes,Immense support,Yes,2010,Full employment,Academic/Research,Lagos,Yes,NA,NA,NA,Most Plesant,Most Cordial,Informal,Most Sup,Broaden my research horizon,,University of Ibadan,1997,University of Ibadan,2006,7,1
Male,Married,49,Political Science,Social Sciences,1997,2012,2,14,16,2,Senior lecturer,No,8,Yes,Immense support,Yes,1999,Full employment,Academic/Research,Ogun,Yes,Yes,Helped with the Ph.D. proposal,NA,Very Plesant,Very Cordial,Formal,Very Sup,Focus,Time of completion of the programme,University of Ibadan,1995,University of Ibadan,1997,15,1
Female,Single,30,Sociology,Social Sciences,2006,2012,0,8,8,1,Professor,No,,Yes,Centered fully on my studies,Yes,2011,Full employment,Academic/Research,Ogun,No,NA,NA,NA,Very Plesant,Most Cordial,Very inf,Most Sup,Ability to conduct meaningful research,,University of Ibadan,2002,University of Ibadan,2005,6,0
Male,Married,41,Guidace and Counselling,Institute of Education,2008,2012,0,6,6,1,Professor,Yes,8,Yes,Immense support,No,NA,NA,NA,NA,No,NA,NA,NA,Very Plesant,Most Cordial,Very inf,Most Sup,Knowledge Enriching,,University of Ilorin,1994,University of Ibadan,2008,4,0
Male,Married,42,Educational Management,Institute of Education,2002,2012,8,6,14,1,Reader,Yes,11,Yes,Immense support,Yes,2004,Full employment,Academic/Research,Lagos,No,Yes,NA,NA,Very Plesant,Most Cordial,Very inf,Most Sup,Development of independent thoughts,Increase the number of Doctoral Students intake,Olabisi Onabanjo University,1998,University of Ibadan,2002,10,1
Male,Married,43,Teacher Education,Institute of Education,2002,2012,0,16,16,1,Senior lecturer,No,8,Yes,Immense support,Yes,2009,Full employment,Academic/Research,Ondo,No,NA,NA,NA,Plesant,Cordial,Informal,Very Sup,Broaden my research horizon,PG school should be involved more in monitoring the progress of the student,University of Ibadan,2000,University of Ibadan,2001,10,1
Male,Married,48,Human Kinetics and Health Education,Institute of Education,2000,2012,6,12,18,1,Professor,Yes,13,Yes,Immense support,Yes,2000,Full employment,Non academic/Administration,FCT,No,No,NA,NA,Very Plesant,Very Cordial,Very inf,Very Sup,Broaden my research horizon,,University of Ibadan,1990,University of Ibadan,1993,12,1
Male,Married,47,Human Kinetics and Health Education,Institute of Education,1997,2012,18,0,18,2,Professor,Yes,15,Yes,Immense support,Yes,1996,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Most Plesant,Very Cordial,Formal,Very Sup,Academic Enrichment,Counselling forum for PhD students,University of Ibadan,1990,University of Ibadan,1995,15,1
Male,Married,41,Guidace and Counselling,Institute of Education,2007,2012,2,6,8,1,Professor,Yes,11,Yes,Moral and Financial support from spouse,Yes,2010,Full employment,Academic/Research,Oyo,No,Yes,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Seminar aspect of the programme,Bureacracy of PG School,University of Ibadan,1999,University of Ibadan,2003,5,0
Male,Married,46,NA,Institute of Education,2004,2012,4,8,12,1,Professor,Yes,18,Yes,Moral and Financial support from spouse,Yes,2006,Full employment,Academic/Research,Ogun,No,NA,NA,NA,Plesant,Most Cordial,Formal,Most Sup,Seminar aspect of the programme,Bureacracy of PG School,University of Ibadan,1996,University of Ibadan,2003,8,1
Female,Married,49,Laris,Institute of Education,2001,2012,10,6,16,1,Professor,Yes,23,Yes,Immense support,Yes,1999,Full employment,Academic/Research,Osun,No,NA,NA,NA,Very Plesant,Most Cordial,Very inf,Most Sup,Broaden my research horizon,Bureacracy of PG School,University of Ibadan,1989,University of Ibadan,1999,11,1
Male,Married,44,Human Kinetics and Health Education,Institute of Education,2000,2012,13,4,17,1,Professor,Yes,14,Yes,Immense support,Yes,2007,Full employment,Academic/Research,Rivers,Yes,Yes,Helped with the Ph.D. proposal,NA,Terrible,NA,NA,NA,NA,Time of completion of the programme,University of Ibadan,1997,University of Ibadan,1997,12,1
Female,Married,46,Human Kinetics and Health Education,Institute of Education,2004,2012,0,11,11,1,Professor,Yes,17,Yes,Immense support,Yes,2008,Part time,Academic/Research,Ogun,No,NA,NA,NA,Plesant,Very Cordial,Formal,Very Sup,Seminar aspect of the programme,PG school should be involved more in monitoring the progress of the student,University of Ibadan,1997,University of Ibadan,2004,8,1
Male,Married,40,NA,Institute of Education,2004,2012,0,12,12,1,Professor,Yes,10,Yes,Immense support,Yes,2006,Full employment,Academic/Research,Ogun,Yes,Yes,Helped with the Ph.D. proposal,,Most Plesant,Most Cordial,Informal,Most Sup,Academic Enrichment,,Lagos State University,1999,University of Lagos,2003,8,1
Female,Married,55,Human Kinetics and Health Education,Institute of Education,2004,2012,2,14,16,1,Senior lecturer,Yes,27,Yes,Cooperation from spouse,Yes,1983,Full employment,Academic/Research,Lagos,Yes,Yes,Helped with the Ph.D. proposal,,Very Plesant,Most Cordial,Very inf,Most Sup,Knowledge Enriching,,OAU,1981,University of Lagos,1992,8,1
Male,Married,43,Human Kinetics and Health Education,Institute of Education,2001,2012,10,6,16,1,Professor,No,16,Yes,Immense support,Yes,NA,Full employment,Non academic/Administration,FCT,Yes,Yes,Helped with the Ph.D. proposal,,Very Plesant,Most Cordial,Informal,Very Sup,Broaden my research horizon,Cost of the Programme,University of Ibadan,1997,University of Ibadan,1998,11,1
Male,Married,41,Special Education,Institute of Education,2002,2012,8,6,14,1,Senior lecturer,No,13,Yes,Immense support,Yes,2002,Full employment,Academic/Research,Oyo,Yes,Yes,Helped with the Ph.D. proposal,,Very Plesant,Most Cordial,Formal,Most Sup,Knowledge Enriching,,University of Ibadan,1992,University of Ibadan,1995,10,1
Female,Married,53,I.C.E.E,Institute of Education,2003,2012,2,5,7,1,Senior lecturer,Yes,32,Yes,Cooperation from spouse,Yes,2000,Full employment,Academic/Research,Rivers,Yes,Yes,Course work/Lecturers,,Most Plesant,Most Cordial,Formal,Most Sup,Broaden my research horizon,,Rivers State College of Education,1985,University of Portharcourt,1995,9,1
Male,Married,49,Guidace and Counselling,Institute of Education,2004,2012,12,0,12,1,Senior lecturer,Yes,15,Yes,Immense support,Yes,1996,Full employment,Academic/Research,Oyo,Yes,Yes,Helped with the Ph.D. proposal,,Plesant,Most Cordial,Informal,Most Sup,Quite Challenging,Cost of the Programme,University of Ibadan,1990,University of Ibadan,1992,8,1
Male,Married,53,Laris,Institute of Education,1998,2012,16,6,22,1,Reader,No,9,Yes,Immense support,Yes,2009,Full employment,NA,Edo,Yes,Yes,Helped with the Ph.D. proposal,Extra Journey,Most Plesant,Very Cordial,Formal,Supporti,Academic Enrichment,Time of completion of the programme,University of Ibadan,1987,University of Ibadan,1991,14,1
Female,Married,49,Human Kinetics and Health Education,Institute of Education,2005,2012,0,7,7,1,Professor,No,27,Yes,Moral and Financial support from spouse,No,NA,NA,NA,NA,No,NA,NA,NA,Plesant,Most Cordial,Formal,Very Sup,Broaden my research horizon,Bureacracy of PG School,University of Ibadan,2004,University of Ibadan,2005,7,1
Male,Single,40,Guidace and Counselling,Institute of Education,2008,2012,0,6,6,1,Senior lecturer,No,,No,NA,No,NA,NA,NA,NA,No,Yes,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Academic Enrichment,Immunity against strike action,Delta State University,2005,University of Ibadan,2008,4,0
Male,Married,36,Human Kinetics and Health Education,Institute of Education,2005,2012,0,8,8,1,Senior lecturer,No,,Yes,Centered fully on my studies,No,NA,NA,NA,NA,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Supporti,Development of independent thoughts,PG school should be involved more in monitoring the progress of the student,University of Ibadan,2001,University of Ibadan,2004,7,1
Male,Married,51,Educational Management,Institute of Education,2003,2012,8,8,16,1,Senior lecturer,Yes,19,Yes,Moral and Financial support from spouse,Yes,2008,Part time,Academic/Research,Lagos,Yes,No,NA,Extra Journey,Terrible,Most Cordial,Very inf,Most Sup,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1987,University of Ibadan,1990,9,1
Female,Married,50,Guidace and Counselling,Institute of Education,2005,2012,0,10,10,1,Senior lecturer,Yes,24,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Lagos,Yes,Yes,Course work/Lecturers,,Most Plesant,Most Cordial,Very inf,Most Sup,Seminar aspect of the programme,,University of Ado-Ekiti,1996,Lagos State University,2000,7,1
Male,Married,42,Special Education,Institute of Education,2004,2012,2,10,12,1,Reader,Yes,11,Yes,Immense support,Yes,2010,Full employment,Academic/Research,Oyo,Yes,Yes,Getting research Topics was quicker,,Most Plesant,Most Cordial,Formal,Most Sup,Knowledge Enriching,Bureacracy of PG School,University of Ibadan,1996,University of Ibadan,1998,8,1
Male,Married,44,Guidace and Counselling,Institute of Education,2007,2012,4,4,8,1,Professor,Yes,17,Yes,Immense support,Yes,2008,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Most Plesant,Most Cordial,Very inf,Most Sup,Development of independent thoughts,,University of Ibadan,1988,University of Ibadan,1999,5,0
Male,Married,45,I.C.E.E,Institute of Education,2005,2012,0,12,12,,NA,No,,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
Female,Single,30,Political Science,Social Sciences,1997,2012,3,7,10,1,Professor,No,,Yes,Centered fully on my studies,Yes,1988,Full employment,Academic/Research,Imo,No,No,NA,NA,Unplesant,NA,Formal,Not Supp,Development of independent thoughts,Bureacracy of PG School,University of Ilorin,1995,University of Ibadan,1999,15,1
Male,Married,42,Political Science,Social Sciences,2002,2012,0,16,16,1,Senior lecturer,Yes,9,Yes,Immense support,Yes,1999,Full employment,Academic/Research,Ekiti,No,No,NA,NA,Plesant,Most Cordial,Informal,Very Sup,Broaden my research horizon,Time of completion of the programme,University of Ado-Ekiti,1994,University of Ibadan,2002,10,1
Male,Married,49,Sociology,Social Sciences,2004,2012,8,2,10,1,Reader,Yes,21,Yes,Immense support,Yes,2010,Full employment,Academic/Research,Osun,No,NA,NA,NA,Most Plesant,Very Cordial,Very inf,Most Sup,Broaden my research horizon,Time of completion of the programme,University of Ibadan,1999,University of Ibadan,2004,8,1
Male,Married,39,Psychology,Social Sciences,2003,2012,6,6,12,1,Reader,No,4,Yes,Immense support,Yes,2003,Full employment,Academic/Research,Ondo,No,NA,NA,NA,Very Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,Bureacracy of PG School,UNILAG,1997,University of Ibadan,2001,9,1
Male,Married,45,I.C.E.E,Institute of Education,2003,2012,0,12,12,1,Senior lecturer,Yes,20,Yes,Immense support,Yes,NA,Full employment,Academic/Research,Lagos,Yes,Yes,Helped with the Ph.D. proposal,,Plesant,Cordial,Formal,Supporti,Focus,Registration Procedure,Olabisi Onabanjo University,1998,University of Portharcourt,2000,9,1
Male,Married,52,I.C.E.E,Institute of Education,2004,2012,0,12,12,1,Senior lecturer,Yes,29,Yes,Immense support,Yes,2009,Full employment,Non academic/Administration,Osun,Yes,Yes,Better Exposure,,Most Plesant,Most Cordial,Formal,Very Sup,Academic Enrichment,Mandatory Length of time,OAU,1989,University of Ilorin,1997,8,1
Female,Married,49,Special Education,Institute of Education,2002,2012,4,12,16,1,Senior lecturer,Yes,25,Yes,Immense support,Yes,1985,Full employment,Academic/Research,Oyo,Yes,Yes,Helped with the Ph.D. proposal,,Very Plesant,NA,Informal,Very Sup,Broaden my research horizon,Bureacracy of PG School,University of Ibadan,1996,University of Ibadan,2000,10,1
Male,Married,52,Human Kinetics and Health Education,Institute of Education,2004,2012,0,12,12,1,Senior lecturer,Yes,23,Yes,Immense support,Yes,1989,Full employment,Non academic/Administration,Lagos,Yes,Yes,Better Exposure,,Very Plesant,Most Cordial,Very inf,Most Sup,Focus,Mandatory Length of time,University of Ibadan,1987,University of Lagos,1997,8,1
Female,Married,53,Adult Education,Institute of Education,2003,2012,5,8,13,1,Senior lecturer,Yes,29,No,NA,Yes,2004,Part time,Academic/Research,Ogun,Yes,Yes,Better Exposure,,Plesant,Cordial,Formal,Supporti,Seminar aspect of the programme,Bureacracy of PG School,University of Ibadan,1999,University of Ibadan,2002,9,1
Male,Married,49,I.C.E.E,Institute of Education,2002,2012,8,4,12,1,Senior lecturer,Yes,19,Yes,Immense support,Yes,1985,Full employment,Academic/Research,Oyo,Yes,Yes,Better Exposure,,Very Plesant,Very Cordial,Formal,Supporti,Development of independent thoughts,Mandatory Length of time,University of Ibadan,1988,University of Ibadan,2002,10,1
Female,Married,48,Laris,Institute of Education,2004,2012,0,10,10,1,Lecturer,Yes,26,Yes,Immense support,Yes,19,Full employment,Academic/Research,Ondo,Yes,Yes,Helped with the Ph.D. proposal,,Most Plesant,Most Cordial,Informal,Most Sup,Development of independent thoughts,Registration Procedure,"ABU, zaria",1988,University of Ibadan,1992,8,1
Female,Married,52,Teacher Education,Institute of Education,2001,2012,11,6,17,2,Senior lecturer,Yes,26,No,Not easy combining,Yes,30,Full employment,Academic/Research,Osun,Yes,Yes,Helped with the Ph.D. proposal,,Most Plesant,Most Cordial,Formal,Most Sup,Seminar aspect of the programme,,University of Ilorin,1992,University of Ibadan,1997,11,1
Female,Married,37,Human Kinetics and Health Education,Institute of Education,2004,2012,7,6,13,1,Reader,Yes,7,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Ekiti,Yes,Yes,Better Exposure,,Very Plesant,Most Cordial,Formal,Most Sup,Seminar aspect of the programme,Registration Procedure,University of Benin,1998,University of Benin,2003,8,1
Male,NA,58,Guidace and Counselling,Institute of Education,2007,2012,0,7,7,1,Senior lecturer,No,28,Yes,Immense support,No,NA,NA,NA,NA,No,NA,NA,NA,NA,Very Cordial,Formal,Most Sup,Broaden my research horizon,,University of Ilorin,1988,University of Ibadan,2004,5,0
Female,Married,41,Special Education,Institute of Education,2003,2012,0,14,14,1,Senior lecturer,Yes,11,Yes,Moral and Financial support from spouse,No,NA,NA,NA,NA,No,NA,NA,NA,Very Plesant,Very Cordial,Informal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1992,University of Ibadan,1994,9,1
Male,Married,49,Adult Education,Institute of Education,2001,2012,5,5,10,1,Lecturer,Yes,33,Yes,Moral and Financial support from spouse,Yes,1980,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Cordial,Formal,Supporti,Development of independent thoughts,Bureacracy of PG School,University of Ibadan,1994,University of Ibadan,1998,11,1
Female,Married,40,Educational Management,Institute of Education,2001,2012,18,0,18,1,Reader,Yes,14,Yes,Immense support,Yes,1996,Full employment,Academic/Research,Ogun,No,NA,NA,NA,Very Plesant,Very Cordial,Informal,Very Sup,Development of independent thoughts,,Olabisi Onabanjo University,1992,University of Ibadan,1995,11,1
Female,Married,49,Educational Management,Institute of Education,2002,2012,16,0,16,1,Senior lecturer,No,24,Yes,Immense support,Yes,2006,Full employment,Academic/Research,Ogun,No,No,NA,NA,Very Plesant,Very Cordial,Very inf,Very Sup,Broaden my research horizon,,University of Ibadan,1998,University of Ibadan,2000,10,1
Male,Married,42,Special Education,Institute of Education,1998,2012,16,0,16,1,Senior lecturer,No,9,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Most Plesant,Most Cordial,Very inf,Supporti,Development of independent thoughts,,University of Ibadan,1995,University of Ibadan,2008,14,1
Male,Married,40,Human Kinetics and Health Education,Institute of Education,2003,2012,6,6,12,1,Lecturer,Yes,24,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Very Plesant,Cordial,Formal,Supporti,Development of independent thoughts,Bureacracy of PG School,Lagos State University,1995,University of Lagos,1999,9,1
Male,Married,48,Educational Management,Institute of Education,2000,2012,14,6,20,1,Professor,Yes,26,Yes,Immense support,No,NA,NA,NA,NA,Yes,Yes,Better Exposure,NA,Most Plesant,Most Cordial,Very inf,Most Sup,Broaden my research horizon,PG school should be involved more in monitoring the progress of the student,OAU,1984,University of Ibadan,1989,12,1
Male,Married,47,Human Kinetics and Health Education,Institute of Education,2003,2012,12,2,14,1,Reader,Yes,24,Yes,Immense support,Yes,1987,Full employment,Academic/Research,Lagos,Yes,Yes,Course work/Lecturers,NA,Most Plesant,Most Cordial,Formal,Very Sup,Development of independent thoughts,,Lagos State University,1998,University of Ibadan,2001,9,1
Male,Married,44,Human Kinetics and Health Education,Institute of Education,2001,2012,6,12,18,2,Professor,No,7,Yes,Immense support,Yes,2000,Full employment,Academic/Research,Lagos,No,NA,NA,NA,Plesant,Very Cordial,Formal,Most Sup,Broaden my research horizon,Counselling forum for PhD students,University of Ibadan,1995,University of Ibadan,1999,11,1
Male,Married,38,Educational Management,Institute of Education,2001,2012,12,4,16,1,Senior lecturer,Yes,10,Yes,Immense support,Yes,2003,Full employment,Non academic/Administration,Lagos,No,NA,NA,NA,Very Plesant,Very Cordial,Formal,Very Sup,Quite Challenging,Counselling forum for PhD students,University of Ibadan,1995,University of Ibadan,1998,11,1
Female,Married,41,Laris,Institute of Education,2005,2012,0,10,10,1,Lecturer,Yes,16,Yes,Immense support,Yes,2002,Full employment,Academic/Research,Oyo,No,NA,NA,NA,Very Plesant,Most Cordial,Formal,Most Sup,Knowledge Enriching,Bureacracy of PG School,Olabisi Onabanjo University,1993,University of Ibadan,1997,7,1
